health_region_id,health_region_name,total,from_0_to_9,from_10_to_19,from_20_to_29,from_30_to_39,from_40_to_49,from_50_to_59,from_60_to_69,from_70_to_79,from_80_to_older
31012,Varginha,201309,24731,27291,32201,32348,28052,24550,18610,9067,4459
31013,Barbacena,238637,26908,30362,37467,36364,34040,32152,22744,12361,6239
31015,São João Del Rei,240651,26827,30709,37084,36187,34784,33202,23171,12287,6400
31016,Belo Horizonte/ Nova Lima/ Caeté,3411258,385279,458276,536151,571397,494753,410110,306278,164821,84193
31017,Betim,728243,100549,107792,127977,119290,101653,81925,53613,24474,10970
31018,Contagem,876811,113037,127647,149561,149060,127618,98722,66816,31335,13015
31019,Curvelo,185711,23420,25179,30352,28526,25263,22994,16129,8986,4862
31020,Guanhães,93123,12634,12802,15728,13720,12020,10846,7707,4735,2931
31021,Itabira,237098,29903,31838,38588,38591,33473,28962,19729,10282,5732
31022,Ouro Preto,186880,23452,26411,31857,31523,25859,21766,14794,7476,3742
31023,João Monlevade,139441,16350,18193,20953,21435,19089,18603,13228,7582,4008
31024,Sete Lagoas,449072,54283,60573,74460,71982,62663,56570,38284,20113,10144
31025,Vespasiano,328997,43054,47988,56447,54103,46709,37981,25114,11949,5652
31026,Diamantina,142504,19821,19977,24923,23153,18400,15992,10544,6193,3501
31027,Turmalina/Minas Novas/Capelinha,124958,19371,19423,23214,21621,15134,11902,7939,4225,2129
31028,Bom Despacho,107489,12103,13735,16810,16109,15207,14441,10184,5835,3065
31030,Formiga,122971,12378,14718,18699,19088,17550,17350,12496,7003,3689
31031,Itaúna,124127,14094,16127,20255,19794,17859,16241,11148,5751,2858
31032,Pará de Minas,252399,34682,42243,45742,44410,33075,24925,15793,7739,3790
31034,Caratinga,203324,26837,27786,31564,31093,28578,24583,17492,9725,5666
31035,Coronel Fabriciano/Timóteo,231628,28590,31769,36357,36869,31879,29416,20682,10516,5550
31036,Governador Valadares,430602,57915,61426,68244,65474,57527,51150,36191,21056,11619
31037,Ipatinga,409191,52934,57476,65246,66620,56568,47028,36367,17844,9108
31038,Mantena,70031,9089,9153,10197,10488,10190,8785,6298,3689,2142
31040,Resplendor,89267,11715,11811,13210,12556,12341,11258,8401,5058,2917
31041,Além  Paraíba,57311,6742,7383,8848,8305,7811,7590,5644,3107,1881
31042,Carangola,128704,17247,18281,20585,19348,17356,15291,11298,5916,3382
31044,Leopoldina / Cataguases,183358,19930,22189,27249,27919,25566,24680,18644,10980,6201
31045,Muriaé,174538,20246,22339,26747,28025,24064,22226,16645,9057,5189
31046,Santos Dumont,50683,5663,6139,7737,7533,6988,7103,5205,2819,1496
31047,São João Nepomuceno / bicas,73081,8261,9225,11381,10909,9515,9864,7334,4093,2499
31048,Ubá,316719,37785,42178,50446,50102,43508,40442,28169,15342,8747
31049,Brasília de Minas/São Francisco,233905,37567,35173,41867,37165,27535,22937,16249,10098,5314
31050,Coração de Jesus,47569,6868,6279,8009,7451,6162,5516,3824,2267,1193
31051,Francisco Sá,74504,11691,11522,13566,11767,8843,7608,5078,2952,1477
31052,Janaúba/Monte Azul,278394,40759,40262,47845,45563,35018,29756,20679,12279,6233
31053,Januária,116874,19305,17688,20171,18047,13400,11894,8380,5123,2866
31055,Pirapora,146991,21977,21726,25102,24124,19046,15831,11108,5412,2665
31057,Patos de Minas,263568,30834,34331,42056,40500,38434,34432,23907,12844,6230
31058,Unaí,274324,40337,40668,48042,44258,37189,29763,19420,9843,4804
31059,Manhuaçu,345886,49362,50387,54727,53327,46148,39704,28178,15252,8801
31060,Ponte Nova,211450,24962,26155,31359,31520,29338,27776,20647,12139,7554
31061,Viçosa,138336,15430,17922,21380,22700,19390,17677,13193,6763,3881
31062,Águas Formosas,59634,9216,8364,9308,8888,7617,6287,4703,3341,1910
31064,Araçuaí,89638,12046,12439,15009,14914,11440,9873,6848,4353,2716
31065,Itaobim,80828,12571,11640,12910,11857,9971,8479,6363,4437,2600
31066,Nanuque,68286,9110,9239,10546,10677,9111,7807,5874,3739,2183
31067,Padre Paraíso,62910,10769,9859,10433,9563,7295,5950,4484,2870,1687
31068,Pedra azul,65080,9978,9581,10842,9765,8124,7062,4895,3161,1672
31070,Araxá,189071,23467,26089,31200,31924,26150,22585,16085,7789,3782
31071,Frutal / Iturama,181653,22992,25637,30113,31232,25494,21016,13998,7513,3658
31072,Uberaba,419482,50485,57947,67264,71098,58559,49634,35699,18959,9837
31073,Ituiutaba,195383,22774,25097,30079,29550,27870,25110,17919,11000,5984
31074,Patrocínio / Monte Carmelo,195323,24155,26526,31274,29991,28139,25343,16823,8909,4163
31075,Uberlândia / Araguari,915255,110714,127987,146594,151173,131237,111723,77352,39404,19071
31076,Manga,56910,9835,9116,9524,8088,6521,5845,4069,2527,1385
31077,João Pinheiro,73522,10669,11136,13174,11735,9857,7871,5098,2747,1235
31078,Congonhas,125453,15239,16603,21047,21718,16745,15519,10913,5182,2487
31079,Conselheiro Lafaiete,186232,22246,24731,29820,30357,25353,23305,16910,8934,4576
31080,Peçanha/São João Evangelista,57847,8400,8081,9596,8675,7262,6354,4579,3005,1895
31081,Santa Maria do Suaçuí,43389,6578,6219,7302,6229,5484,4811,3412,2109,1245
31082,São Gotardo,94524,11432,12924,14818,14409,13369,12028,8436,4693,2415
31083,Bocaiúva,78199,11425,11294,13237,12671,10235,8733,5828,3202,1574
31084,Montes Claros,443347,59900,66319,74949,77764,61405,46551,31647,16963,7849
31085,Taiobeiras,139307,19958,20562,24843,22593,17384,14303,10281,6117,3266
31086,Divinópolis,351052,40549,46846,56142,57614,50685,44540,30687,16013,7976
31087,Lagoa da Prata/Sto Ant do Monte,128822,15402,17493,21025,20847,18482,16217,10992,5635,2729
31088,Oliveira/Santo Antônio do Amparo,105654,12123,13783,16461,16233,15188,13712,9780,5389,2985
31089,Campo Belo,99524,11151,12330,14466,15240,14124,12789,10480,5718,3226
31090,Lima Duarte,70832,7656,8276,10192,9590,10551,10577,7400,4273,2317
31091,Cassia,50445,6614,6873,8162,7493,6804,5947,4715,2573,1264
31092,Passos,212096,25678,28069,33814,32714,29492,27151,19732,10366,5080
31093,Piumhi,76959,8674,9807,11787,11563,11054,10304,7642,3997,2131
31094,Almenara/Jacinto,171474,24936,23656,26052,25432,21790,19695,14565,9692,5656
31095,Serro,50545,7866,7597,8890,7303,6111,5549,3754,2130,1345
31096,Itambacuri,44524,6638,6311,7242,6560,5471,4930,3490,2311,1571
31097,Juiz de Fora,621864,66450,79575,96655,98847,85128,81572,62593,33248,17796
31098,salinas,68710,9826,9665,11065,10680,8691,7287,5780,3626,2090
31099,Teófilo Otoni / Malacacheta,280965,41653,40945,45895,43489,35932,30152,21686,13333,7880
32001,Central,661264,95435,94737,105405,109821,91748,74594,50672,24912,13940
32002,Metropolitana,2248766,313729,322366,355355,381608,309695,253568,181380,86497,44568
32003,Norte,430549,65469,62177,68662,68906,58622,48476,32670,16520,9047
32004,Sul,678071,92129,91232,103960,108565,92735,82725,58923,30324,17478
33001,Baia da Ilha Grande,291418,42103,40894,48487,48335,41933,33570,21992,10114,3990
33002,Baixada Litorânea,839958,118230,110331,131410,127975,117955,106937,73572,37056,16492
33003,Centro-Sul,340526,42413,42109,51646,51712,47353,45556,32968,17684,9085
33004,Médio Paraíba,913698,114102,113819,135182,142128,126962,120568,92212,46177,22548
33005,Metropolitana I,10497016,1342370,1375090,1615406,1645228,1481685,1267802,967950,520282,281203
33006,Metropolitana II,2116506,252320,259605,317569,333868,311583,273465,204908,109220,53968
33007,Noroeste,348191,42488,41852,48715,52211,49151,47930,34690,19988,11166
33008,Norte,945425,136619,130912,152522,156455,127504,110286,74864,37755,18508
33009,Serrana,972205,121049,121693,144393,145374,137159,127831,94914,52850,26942
35011,Alto do Tietê,3031955,458009,449282,502291,497771,424156,337382,219917,101302,41845
35012,Franco da Rocha,608783,94334,91846,103644,104170,84990,64472,41425,17539,6363
35013,Mananciais,1157544,177264,171940,190235,196820,165104,124141,81205,36864,13971
35014,Rota dos Bandeirantes,1894506,281083,278431,306310,322365,269517,207938,138863,64287,25712
35015,Grande ABC,2789871,357973,368775,421508,474654,407382,338089,241233,122336,57921
35016,São Paulo,12252023,1570977,1657455,1840613,2060796,1781509,1428985,1050511,562093,299084
35021,Central do DRS II,304821,35749,35925,43294,50190,45125,40906,28995,16048,8589
35022,Lagos do DRS II,205427,23457,23355,29222,34574,31458,26965,19156,11468,5772
35023,Consórcios do DRS II,281008,35109,34952,41037,45883,40513,35839,25769,14470,7436
35031,Central do DRS III,322386,40257,40650,48211,55095,46001,39654,28645,15458,8415
35032,Centro Oeste do DRS III,146881,18313,18835,21825,25191,20948,18278,12674,7023,3794
35033,Norte do DRS III,157668,19519,19861,23377,26079,22230,20223,14580,7709,4090
35034,Coração do DRS III,399047,50009,51182,59036,66971,57250,49122,35737,19092,10648
35041,Baixada Santista,1865397,256621,249406,271120,286856,260138,226688,171799,93898,48871
35051,Norte - Barretos,292653,37383,36965,43426,49380,41022,36160,26052,14663,7602
35052,Sul - Barretos,148254,18165,18218,22280,24122,20559,18509,13990,7952,4459
35061,Vale do Jurumirim,303868,41729,39735,45559,48384,42624,37151,27014,14302,7370
35062,Bauru,654154,81486,83896,97771,111483,92733,79569,58667,31347,17202
35063,Polo Cuesta,316844,43393,42027,47440,50738,44196,37786,27830,15170,8264
35064,Jaú,355931,46542,46709,52777,58448,50073,43601,31534,16636,9611
35065,Lins,169960,21458,21533,25040,27902,24122,21032,15433,8607,4833
35071,Bragança,475660,59625,59398,70287,77028,68502,59081,44391,24593,12755
35072,Região Metropolitana de Campinas,3244142,412674,426657,500938,562832,471871,389052,274671,137518,67929
35073,Jundiaí,815338,110323,110372,124456,141235,116973,94781,66426,33816,16956
35074,Circuito das Águas,136147,15490,15810,19187,22038,19735,17806,13669,7768,4644
