country_iso,country_name,state_id,state_name,city_id,city_name,population,male,female,male-0-19,male-20-29,male-30-39,male-40-49,male-50-59,male-60-69,male-70-79,male-80>,female-0-19,female-20-29,female-30-39,female-40-49,female-50-59,female-60-69,female-70-79,female-80>
BR,Brasil,AL,Alagoas,2705408,Monteirópolis,7159,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2705507,Murici,28236,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2705606,Novo Lino,12690,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2705705,Olho d'Água das Flores,21688,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2705804,Olho d'Água do Casado,9373,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2705903,Olho d'Água Grande,5123,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2706000,Olivença,11624,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2706109,Ouro Branco,11496,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2706208,Palestina,5011,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2706307,Palmeira dos Índios,73218,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2706406,Pão de Açúcar,24399,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2706422,Pariconha,10533,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2706448,Paripueira,13176,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2706505,Passo de Camaragibe,15245,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2706604,Paulo Jacinto,7564,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2706703,Penedo,63683,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2706802,Piaçabuçu,17827,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2706901,Pilar,35111,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2707008,Pindoba,2908,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2707107,Piranhas,25039,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2707206,Poço das Trincheiras,14386,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2707305,Porto Calvo,27165,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2707404,Porto de Pedras,7786,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2707503,Porto Real do Colégio,20066,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2707602,Quebrangulo,11294,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2707701,Rio Largo,75120,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2707800,Roteiro,6664,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2707909,Santa Luzia do Norte,7296,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2708006,Santana do Ipanema,47654,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2708105,Santana do Mundaú,10740,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2708204,São Brás,6961,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2708303,São José da Laje,23927,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2708402,São José da Tapera,32260,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2708501,São Luís do Quitunde,34555,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2708600,São Miguel dos Campos,61251,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2708709,São Miguel dos Milagres,7951,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2708808,São Sebastião,34152,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2708907,Satuba,13828,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2708956,Senador Rui Palmeira,13870,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2709004,Tanque d'Arca,6162,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2709103,Taquarana,19980,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2709152,Teotônio Vilela,44169,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2709202,Traipu,27715,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2709301,União dos Palmares,65611,,,,,,,,,,,,,,,,,,
BR,Brasil,AL,Alagoas,2709400,Viçosa,25733,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300029,Alvarães,16041,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300060,Amaturá,11536,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300086,Anamã,13614,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300102,Anori,21010,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300144,Apuí,21973,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300201,Atalaia do Norte,19921,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300300,Autazes,39565,,,,,,,,,,,,,,,,,,
